,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr
Bank Of Madura Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,,2,,,,,7.91,4.14,,,,,,,,5.88,,4.41,,34.54,,,19.84,14.48,,,,,,,,4.06,,3.48,,20.56,,,9.93,8.11,,,,,,,,2.44,,2.55,,12.97,,,15.36,15.27,,,,,,,,20.11,,33.69,,91.74,,,21.69,35.01,,,,,,,,4.65,,11.13,,14.3,,,11.19,25.42,,,,,,,,8.69,,26.18,,23.09,,,11,31.91,,,,,,,,8.81,,34.2,,23.43,,,15.53,55.36,,,,,,,,7.13,,30.14,,18.19,,,9.87,39.84,,,,,,,,9.71,,45.58,,23.17,,,16.91,76.66,,,,,,,
Bank Of Maharashtra,7.99,,439.58,0.7,19.51,10.21,10.21,14.45,776.26,2.96,1.64,,875.72,798.41,464.34,1209.79,5.01,,330.39,0.47,12.47,6.86,6.86,10.79,648.65,2.47,1.32,,699.15,1209.79,735.24,1173.7,5.39,,430.83,0.55,14.24,7.59,7.59,17.05,1326.55,2.28,0.84,,875.88,1173.7,752.55,1297.03,7.17,,759.52,0.74,19.14,11.88,11.88,18.9,1961.81,1.49,0.52,,807.55,1297.03,967.03,1137.55,2.8,,385.97,0.3,7.09,4.56,4.56,13.49,1719.44,3.16,2.03,,2589.28,1137.55,866.98,2859.85,2.81,,450.69,0.33,6.06,4.5,4.5,16.54,2254.55,6.33,4.19,,4633.64,2859.85,1091.43,6402.06,-2.26,,100.38,0.07,-4.39,0.91,0.91,15.62,2190.29,9.34,6.35,,5723.85,6402.06,1740.06,10385.85,-10.48,100.69,-1372.51,-0.86,-20.99,-11.75,-11.75,13.04,1772.84,16.93,11.76,,9119.05,10385.85,2316.19,17188.71,-11.39,-1372.51,-1145.65,-0.73,-19.33,-8.98,-8.98,14.99,1874.05,19.48,11.24,,5734.87,17188.71,4490.35,18433.23,-40.08,-1145.65,-4783.88,-3.01,-76.14,-14.26,-14.26,13.43,1632.31,16.4,5.52,,4304.22,18433.23,7412.96,15324.49,2.57,-4763.25,388.58,0.23,4.92,0.67,0.67,19.64,2551.56,12.81,4.77,,4040.6,15324.49,7212.94,12152.15,3.39,,550.25,0.3,4.86,0.88,0.88,22.42,3096.68,7.23,2.48,,2202.39,12152.15,657.49,7779.68,6.26,,1151.54,0.55,8.56,1.72,1.72,27.39,4175.29,3.94,0.97,,2182.36,7779.68,4634.83,5327.21,13.26,,2602.04,1.1,18.68,3.87,3.87,28.98,5110.67,2.47,0.25,,1629.72,5327.21,2622.93,4334,17.05,,4055.03,1.5,24.91,5.78,5.78,30.77,6953.71,1.88,0.2,,1255.2,4334,1756.15,3833.05
Bank Of Nova Scotia,10.45,,31.67,0.83,9.04,,,27.06,64.94,,1,,,97.33,27.44,69.9,12.39,,75.85,1.73,9.27,,,35.63,121.32,,,,,69.9,51.72,18.18,18.25,,101.27,1.73,12.98,,,33.14,150.33,,,,,18.18,16.18,2,21.62,,152.87,2.04,19.75,,,35.43,236.93,,,,,2,,2,33.99,,198.79,2.79,20.22,,,55.78,294.11,,,,9.65,2,2.02,9.63,31.2,,191.83,2.2,16.63,,,48.91,279.65,,,,0.11,9.63,0.11,9.63,27.15,,246.91,2.24,17.68,,,52.47,432.5,,0,,0,9.63,0,0,26.82,,286.55,2.24,17,,,52.26,497.44,,0.45,,66.84,9.63,18.52,57.94,25.82,,292.81,2.79,16.03,,,62.4,553.95,4.07,2.49,,139.35,57.94,3.76,193.53,16.69,,163.6,1.45,8.93,,,45.25,379.18,3.08,0.52,,,193.53,0.35,193.18,12.62,,124.3,1.12,5.21,,,37.94,271.39,6.69,3.4,,191.86,193.18,30,355.04,-18.01,,-11.58,,-6,,,26.84,150.05,5.92,0.76,,0.23,355.04,100.84,254.42,-15.35,57.04,57.04,0.81,-3.6,,,30.17,120.8,2.35,,,,254.42,160.4,94.02,0.53,,40.27,0.53,0.13,,,15.99,67.07,,,,,94.02,25.98,68.05,5.18,,46.12,0.75,0.97,,,13.82,46.09,,,,,68.05,,68.05
Bank Of Punjab Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,,0.12,,,,,5.36,0.12,,,,,,,,40.62,,13.36,,12.52,,,40.2,13.05,,,,,,,,21.61,,22.44,,19.87,,,23.77,24.35,,,,,,,,17,,32.35,2.09,25.58,,,21.88,41.33,,1.14,,,,,,14.11,,32.42,1.53,22.64,,,17.36,39.57,,3.66,,,,,,10.72,,33.12,1.04,20.88,,,17.38,53.27,,2.32,,27.16,41.61,8.3,60.47,9.31,,35.57,0.93,20.7,,,11.54,43.69,,2.31,,30.42,60.47,20.87,70.02,7.3,,35.72,0.92,19.32,,,20.33,98.16,,2.93,,66.85,53.31,28.66,91.5,5.67,,30.94,0.79,13.71,,,20.44,97.88,,7.17,,176.87,91.5,98.76,169.61,7.4,,37,0.85,15.3,,,17.13,78.03,,4.69,,68.78,169.6,90.08,148.3,-22.68,,-61.24,-1.29,-46.14,,,-5.18,-21.14,,4.64,,128.69,148.3,37.12,239.87
Bank Of Rajasthan Ltd. [Merged],9.96,,43.4,,20.96,,,8.68,27.79,,,,,,,,1.92,,4.15,,4.23,,,11.28,45.58,,,,,,,,-22.19,,-86.05,,-60.95,,,-0.43,-1.64,,,,,,,,-18.01,,-70.87,,-108.3,,,-8.08,-30.54,,,,,,,,2.36,,12.08,0.3,18.53,,,0.26,1.12,,9.9,,55.49,359.94,51.98,363.45,6.46,,32.22,0.74,26.85,5.11,,8.32,40.05,,7.65,,49.63,363.45,56.45,356.63,6.86,,36.41,0.84,20.51,4.02,,11.24,59.64,,8.86,,84.67,356.63,108.46,332.84,10.37,,68.42,1.12,25.92,6.82,,20.91,120.58,,6.8,,40.34,332.84,107.1,266.08,10.16,,69.04,0.82,24.25,6.42,,23.03,151.48,,2.99,,70.24,266.08,99,237.32,-4.93,,35.01,0.38,-9.09,3.26,,-5.41,-30.54,,2.5,,11.26,237.32,89.4,159.18,-2.11,,15.26,0.19,-3.89,1.42,,-3.43,-19.95,,0.99,,14.93,159.18,38.6,135.51,12.41,,110.57,1.16,28.92,8.22,8.22,17.22,146.47,,0.24,,27.95,135.51,42.42,121.04,8.82,,115.2,0.91,22.03,7.14,7.14,9.36,105.04,,0.42,,50.28,121.04,45.13,126.19,7.79,,117.71,0.74,20.09,7.3,7.3,10,146.65,,0.73,,64.39,126.19,29.66,160.92,-6.81,,-102.13,-0.58,-17.21,-6.33,-6.33,-8.89,-128.43,,1.6,,163.53,160.92,30.64,293.81
Bank Of Tokyo Mitsubishi Ufj (India Branch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.03,,211.91,1.26,,,,39.85,525.52,2,0.79,,100.37,9.46,2.35,107.48,12.68,,189.38,1.04,4.82,,,36.79,534.5,1.28,,,0.87,107.48,,108.35
Banque Nationale De Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02,,11.85,,,,,34.55,29.99,,,,,,,,14.72,,17.28,,43.79,,,47.12,51.48,,,,,,,,15.54,,16.14,,30.88,,,40.34,41.63,,,,,,,,10.71,,13.85,,21.5,,,30.06,38.6,,,,,,,,15.76,,23.69,,30.94,,,41.13,61.5,,,,,,,,10.3,,18.14,0.98,19.8,,,25.19,44.54,,,,,,,,10.5,,22.51,1.06,20.19,,,21.31,45.63,,,,,,,,8.22,,21.5,,16.85,,,17.89,46.53,,,,,,,
Barclays Bank Plc,42.27,,121.95,9.64,12.22,,,72.84,217.92,,,,,,,,20.16,,91.07,4.45,5.55,,,40.52,153.85,,,,,,,,0.13,,6.15,0.1,0.05,,,13.91,165.49,,0.42,,53.03,,,53.03,1.15,,30.1,0.16,0.61,,,28.51,747.92,,4.59,,1008.6,53.03,13.78,1047.85,-28.84,,-554.07,-3.12,-11.13,,,16.66,319.42,,,,1478.66,1047.85,1104.78,1421.73,-12.33,,100.1,0.47,-5.42,,,24.51,542.6,,,,444.74,1421.73,1085.29,781.18,-22.62,,-183,-0.91,-8.42,,,-2.12,-39.41,,1.45,,309.28,781.18,543.31,547.15,-3.37,,-56.38,-0.27,-1.32,,,7.72,147.45,,1.74,,276.9,547.15,269.75,554.3,14.95,,382.14,1.89,6.53,,,39.09,859.93,,1.1,,180.49,554.3,270.93,463.85,16.23,,412.11,1.62,6.23,,,39.74,821.87,,0.02,,9.16,463.85,161.96,311.06,16.47,,476.59,1.62,5.94,,,38.27,794.76,1,0,,3.48,311.06,129.02,185.51,17.05,,521.69,1.8,5.8,,,45.31,979.22,1,0.43,,78.2,185.51,181.11,82.6,19.4,521.69,318.9,1.24,4.69,,,39.4,642.3,1,,,,82.6,4.25,78.35,15.46,318.9,292.17,1,4.3,,,38.72,723.2,2,0.35,,220.85,78.35,3.36,295.84,12.54,292.17,282.96,0.86,4.23,,,32.93,735.18,3.19,,,121.43,295.84,78.2,339.07
Bareilly Corporation Bank Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.19,,-0.53,,,,,0.13,0.03,,,,,,,,-7.61,,-2.27,,-64.95,,,0.92,0.27,,,,,,,,0.71,,0.25,,10.06,,,-0.17,-0.06,,,,,,,,2.47,,0.94,,30.19,,,0.98,0.36,,,,,,,
Baroda Gujarat Gramin Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,2.41,0.08,,1.05,1.05,-0.12,-0.31,,2.73,,36.69,53.46,25.89,64.29,0.82,,3.72,0.1,1.66,1.61,1.61,5.04,14.7,5.4,3.02,,55.04,64.26,39.34,79.96,2.56,,8.93,0.11,5.43,3.88,3.88,8.85,27.98,4.74,1.78,,43.21,79.96,42.33,80.84,-0.72,,3.23,0.04,-1.84,0.41,,3.02,21.9,6.86,4.09,,,,,307.14,-0.4,,0.51,0.01,-0.79,0.06,,0.87,7.08,6.25,3.46,,128.21,295.18,140.17,295.18,1.93,,23.23,0.21,4.15,2.97,,2.38,20.91,4.69,1.63,,89.16,239.54,144.79,239.54,3,,29.22,0.24,6.41,,,-6.56,-57.06,3.57,1.01,,66.33,239.54,97.14,208.74,4.06,,40.76,0.33,8.27,,,-4.8,-42.15,2.74,0.35,,1289.63,5585.27,65.8,6809.1,15.44,,173.07,,28.98,,,12.18,119.54,,,,,,,
Bhandari Co-Operative Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72,,0.64,,,,,11.8,0.63,,,,,,,,5.56,,0.37,,7.42,,,9.41,0.61,,,,,,,
Bharat Co-Op. Bank (Mumbai) Ltd.,5.57,,29.3,0.95,5.23,,,12.75,36.41,,,,13.17,33.62,18.06,28.73,16.01,,56.6,1.4,16.56,,,22.69,79.9,,,,15.74,28.73,9.41,35.06,12.99,,63.17,1.53,15.4,,,19.93,93.57,,,,1.62,35.06,16.99,19.69,13.64,,88.83,1.65,17.99,,,19.67,121.54,0.31,,,4.33,19.69,8.17,15.85,12.22,,95.85,1.62,16.65,,,18.19,141.83,0.44,,,7.76,15.85,9.32,14.29,12.08,,137.56,1.38,16.56,,,18.22,173.56,0,,,88.5,14.29,3.33,99.46,10.75,,123.5,1.23,13.84,,,16.55,179.66,,,,105.04,99.46,47.76,156.74,9.21,,114.55,0.86,11.5,5.28,5.28,13.44,166.6,,,,421.7,156.74,217.42,361.01,10.04,,118.48,0.78,10.57,4.02,4.02,14.24,166.99,,,,155.5,361.01,133.07,383.44,11.26,,141.69,0.75,11.32,3.67,3.67,15.64,196.5,,,,460.31,383.44,263.99,579.76,2.27,,31.24,0.43,2.21,1.95,1.95,12.59,161.92,7.43,4.69,,724.49,579.76,721.1,583.15,-8.67,,-95,0.24,-7.58,1.17,1.17,9.24,101.21,9.32,7.3,,709.8,583.14,615.83,677.11,11.54,,120.35,0.28,9.76,1.45,1.45,11.84,123.84,8.85,5.77,,310,677.11,376.22,610.89,19.82,37.49,212.72,,14.92,-6.27,-6.27,14.87,149.72,9.04,5.05,,170.32,610.89,147.32,633.89,12.31,-149.39,133.69,0.09,9,0.56,0.56,13.07,138.16,7.75,3.74,,97.03,633.89,169.59,561.33
Bharat Overseas Bank Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,,3.89,,,74,74,16.31,9.74,,,,,,,,7.84,,5.82,,23.13,110,110,20.76,15.27,,,,,,,,9.67,,9.51,,26.25,181,181,19.74,19.3,,,,,,,,9.89,,10.31,,21.46,,,16.4,16.97,,,,,,,,7.94,,11.12,0.87,19.05,,,13.12,18.19,,4.4,,,,,,6.82,,11.25,0.74,15.09,,,9.42,15.2,,4.13,,,,,,0.65,,1.03,0.07,1.22,,,12.03,19.02,,6.39,,,,,81.9,9.44,,17.5,1.04,18.91,,,17.8,32.49,,4.14,,11.37,81.9,32.07,61.2,9.16,,22.75,1.08,18,,,22.88,49.48,,4.38,,30.84,61.2,9.6,82.44,9.25,,20.11,1.17,14.89,,,22.23,46.47,,3.31,,18.07,82.44,19.98,80.53,15.21,,35.08,1.25,22.39,223,223,22.53,50.68,,2.26,,14.06,80.53,23.24,71.35,7.51,,20.05,0.62,9.87,127,127,7.09,16.47,,1.56,,16.42,71.35,29.98,57.79,1.84,,5.57,0.15,2.53,3.53,3.53,5.22,14.02,,1.87,,30.41,57.79,21.54,66.66
Bharat Sahakari Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15,,1.8,,,,,19.54,1.63,,,,,,,,8.39,,1.07,,13.54,,,7.09,0.88,,,,,,,
Bharatiya Mahila Bank Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.07,,12.26,1.17,,0.12,0.12,41.6,18.78,,,,,,,,14.41,,19.79,1.34,1.94,0.2,0.2,22.18,30.32,,,,,,,,1.39,,2.38,0.12,0.23,0.02,0.02,1.86,3.18,,0.11,,1.35,,,1.35
Bombay Mercantile Co-Op. Bank Ltd.,-5.67,,-16.69,,-15.63,,,-7.23,-20.98,,,,,,,,12.83,,40.04,1.5,,,,12.37,28.4,,,,,309.31,10.48,298.83,19,,47.84,1.47,26.24,,,18.36,35.03,,,,,,,,-7.97,,4.72,0.07,-7.83,,,-9.75,-13.92,,,,,,,384.41,-18.22,,2.09,0.03,-17.24,,,-22.26,-25.73,,,,,,,335.94,-9.19,,-11.8,-1.17,-7.44,,,-19.53,-24.25,,,,,,,312.86,-4.36,,3.89,0.08,-3.28,3.19,3.19,-7.3,-10.69,,,,,,,275.9,-72.55,,75.71,2.37,-64.05,72.67,72.67,-8.17,-13.28,,,,,,,196.57,-8.65,,25.02,2.18,,11.47,11.47,1.06,2.45,,,,31.7,158.5,27.23,162.98,4.14,,14.96,0.26,4.64,5.16,5.16,1.22,2.99,,,,65.12,162.98,34.12,193.98,-0.57,,13.03,0.36,,,,5.15,13.29,,,,0.09,269.54,235.24,43.28,-3.32,,1.25,0.06,-5.04,,,-0.74,-1.7,,,,17.98,43.28,14.54,46.71,-23.74,,-2.85,0.08,-30.42,0.53,0.53,-23.42,-49.26,,,,10.61,46.71,12.2,45.11,-2.89,,-4.4,0.12,-3.02,0.65,0.65,1.94,4.08,,,,9.42,45.11,15.06,39.48,1.73,,3.76,0.14,1.71,0.74,0.74,3.84,7.81,,,,44.3,39.48,10.85,72.94
British Bank Of The Middle East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75,,13.67,,,,,28.72,26.62,,,,,,,,15.59,,13.33,,38.24,,,25.15,21.51,,,,,,,,20.73,,22.78,,43.05,,,34.75,38.19,,,,,,,,12.49,,15.58,,19.1,,,18.45,23.01,,,,,,,,9.68,,13.13,,13.23,,,15.38,20.86,,,,,,,,2.41,,3.09,,3.04,,,14.52,18.56,,,,,,,,-37.36,,-53.56,,-82.33,,,-0.31,-0.44,,,,,,,
C S B Bank Ltd.,-1.36,,1.65,0.02,-2.55,,,-5.28,-32.66,3.29,1.58,,53.48,171.78,75.97,149.29,1.24,,12.18,0.14,2.43,4.65,4.65,-1.19,-9.45,3.05,1.74,,107.87,149.29,64.71,192.45,0.82,,25.9,0.24,1.82,6.95,6.95,3.85,42.73,2.36,1.1,,100.2,192.45,109.72,182.93,1.98,,32.67,0.25,4.83,8.76,8.76,4.25,58.34,2.35,1.12,,171.31,182.93,143.38,210.86,-0.13,,26.88,0.18,-0.34,5.52,5.52,2.97,46.78,3.77,2.22,,390.36,210.86,267.67,333.55,-5.06,,-53.17,-34,-12.29,-10.5,-10.5,0.52,8.55,4.96,3.85,,464.76,333.55,323.5,474.81,-16.17,,-149.72,-0.92,-34.82,-23.98,-23.98,-4.1,-63.32,5.62,4.4,,403.09,474.81,430.99,446.91,-1.39,,1.55,0.01,-2.91,0.21,0.21,8.25,132.3,7.25,5.51,,367,446.91,213.81,600.1,-12.8,,-97.47,-0.59,-22.85,-12.04,-12.04,-2.32,-31.36,7.89,4.46,,281.16,600.1,117.13,764.13,-22.57,,-197.42,-1.13,-32.96,-23.73,-23.73,-6.69,-95.01,4.87,2.27,,197.45,764.13,430.96,530.62,-2.81,,12.72,0.07,-3.06,0.88,0.88,8.72,140.61,3.54,1.91,,181.78,530.62,302.97,409.43,6.5,,218.4,0.99,7.46,12.59,12.59,20.08,422.91,2.68,1.17,,192.12,409.43,208.06,393.49,16.47,,458.49,1.9,16.77,26.43,26.43,23.05,506.17,1.81,0.68,,118.71,393.49,,289.51,17.85,,547.36,2.06,17.05,31.55,31.55,23.59,599.77,1.26,0.35,,81.08,289.51,108.03,262.56,14.36,,566.82,1.79,15.1,32.67,32.67,18.61,624.77,1.47,0.51,,175.72,262.56,77.21,361.07
Canara Bank,13.28,,3021.43,1.3,26.74,73.69,73.69,19.88,4304.49,1.52,1.06,,3266.33,2167.97,2843.99,2590.31,13.75,,4025.89,1.42,25.45,97.83,97.83,17.95,4837.13,1.45,1.1,,3508.37,2590.31,2961.32,3137.36,9.67,,3282.71,0.95,17.02,74.1,74.1,13.8,4506.76,1.73,1.46,,4589.84,3137.36,3595.45,4031.75,7.63,,2872.1,0.77,13.21,64.83,64.83,12.96,4726.68,2.57,2.18,,5819.3,4031.75,3590.89,6260.16,5.29,,2438.19,0.54,9.83,54.48,54.48,10.09,4231.24,2.49,1.98,,8443.62,6260.16,7133.57,7570.21,5.48,,2702.62,0.55,10.63,58.59,58.59,12.52,5935.71,3.89,2.65,,10869.53,7570.21,5399.78,13039.96,-7.45,,-2812.82,-0.52,-13.85,-53.61,-53.61,8.81,4111.65,9.4,6.42,,24724.06,13039.96,6126.19,31637.83,2.19,-2812.82,1121.92,0.2,3.96,20.63,20.63,14.33,6729.84,9.63,6.33,,11652.11,31637.83,9087.9,34202.04,-13.79,1121.92,-4222.24,-0.75,-23.41,-70.47,-70.47,10.87,4943.91,11.84,7.48,,24760.76,34202.04,11494.33,47468.47,-5.13,,347.02,0.06,-9.35,4.71,4.71,12.31,6058.39,8.83,5.37,,15480.16,47468.47,23724.51,39224.12,-3.92,,-2235.72,-0.32,-7.13,-26.5,-26.5,9.44,4947.9,8.21,4.22,,15044.75,39224.12,17227.72,37041.15,2.99,,2557.58,0.23,6.05,16.91,16.91,15.22,11660.52,8.93,3.82,,17885,61127,18724,60288,6.32,,5678.41,0.48,10.04,32.49,25.49,15.78,12040.96,7.51,2.65,,13890,60288,18526,55652,9.95,,10603.76,0.81,16.59,58.45,58.45,13.51,12226.25,5.35,1.73,,11979,55652,21471,46160,11.1,,14554.32,1.01,19.69,80.23,80.23,12.37,13997.43,4.23,1.27,,10626,46160,16181,40605
Capital Small Finance Bank Ltd.,11.55,,7.42,1.17,16.87,4.73,4.73,17.33,11.16,,,,3.65,0.12,3.57,0.19,13.98,,10.42,1.45,20.79,6.64,6.64,22.23,16.6,,,,5.05,0.19,4.38,0.86,10.85,,10.63,1.2,18.4,6.77,6.77,17.56,17.25,,,,1.94,0.86,1.04,1.76,10.33,,12.51,1.15,18.9,7.97,7.97,16.13,19.64,,0,,3.14,1.76,2.18,2.73,7.04,,10.61,0.82,13.12,6.14,6.14,11.39,16.02,,0.09,,1.98,2.73,1.97,2.74,8.2,,14.22,0.91,16.92,8.24,8.24,12.6,22.01,0.39,0.13,,2.59,2.74,1.69,3.64,6.8,,13.74,0.73,13.46,6.7,6.7,10.51,21.26,0.73,0.45,,7.16,3.64,2.37,8.43,6.15,,15.04,0.62,9.83,6.53,6.53,9.51,23.15,1.02,0.72,,12.11,8.43,6.56,13.99,6.52,,19.02,0.63,9.05,6.86,6.86,11.17,32.85,1.14,0.84,,19.16,13.99,12.01,21.13,5.19,,19.41,0.51,8.1,6.82,6.82,8.5,31.95,1.3,0.93,,27.84,21.13,15.02,33.96,5.07,,25.38,0.51,7.73,8.18,8.16,9.56,47.43,,1.25,,42.19,33.96,17.64,58.51,7.12,,40.78,0.69,9.26,12.04,11.98,11.9,65.65,2.08,1.13,,24.85,58.51,5.12,78.24,9.9,,62.57,0.92,12.95,18.41,18.22,17.14,107.39,2.5,1.36,,78.11,78.24,39.22,117.13,12.88,,93.6,,16.62,27.35,27.21,20.46,148.68,2.77,1.36,,154.37,117.13,118.88,152.62,12.92,,111.53,,12.32,30.65,30.45,17.95,154.74,2.76,1.4,,128.43,152.62,110.87,170.18
