,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr
Aditya Birla Idea Payments Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmedabad Mercantile Cooperative Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.81,,,,,,28.81,,,,,,,39.59,,,,,,39.59,,,,,,,45.82,,,,,,45.82,,,,,,,62.65,,,,,,62.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.54,,,,,,49.54,,,,,,,47.64,,,,,,47.64,,,,,,
Airtel Payments Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.2,,250.2,,250.2,,,250.2,,,,,,96.41,,96.41,,96.41,,,96.41,,,,,,45.26,,45.26,,45.26,,,45.26,,,,,,90.15,,90.15,,90.15,,,90.15,,,,,,66.5,,66.5,287.72,66.5,287.72,,66.5,,,,,,,,58.26,347.28,58.26,347.28,,,,,,,,,,49.1,394.84,49.1,394.84,,,,,,,,,,38.31,503.78,38.31,503.78,,,,,
Allahabad Bank [Merged],12.53,,,,,,12.53,,,,,,,13.37,,,,,,13.37,,,,,,,12.52,,,,,,12.52,,,,,,,11.99,,,,,,11.99,,,,,,,13.11,,13.11,8358.84,,,13.11,8358.84,,13.11,,,,13.62,,13.62,10365.18,,,13.62,10365.18,,13.62,,,,12.96,,12.96,,,,12.96,,,12.96,,,,12.83,,12.83,,,,12.83,,,12.83,,,,11.03,,11.03,,,,11.03,,,11.03,,,,,,10.26,,9.96,,9.96,,,10.26,9.96,,,,,10.52,,10.45,,10.45,,,10.52,10.45,,,,,10.73,,11.02,,11.02,,,10.73,,,,,,10.9,,11.45,,11.45,,,10.9,,,,,,8.69,,8.69,,8.69,,,8.69,,,,,,12.51,,12.51,,12.51,,,12.51,,,
American Express Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,10.4,,,,,,,9.86,,,,,,9.86,,,,,,,9.25,,,,,,9.25,,,,,,,10.09,,,,,,10.09,,,,,,,9.59,,,,,,9.59,,,,,,,10.71,,,,,,10.71,,,,,,,10.93,,,,,,10.93,,,,,,,10.74,,,,,,10.74,,,,,,,10.87,,,,,,10.87,,,,,,,10.26,,,,,,10.26,,,,,,,13,,,,,,13,,,,,,
American Express Banking Corpn.,,,,,,,,,,,,,,16.63,199.56,16.63,,,,16.63,199.56,,16.63,,,,21.34,,21.34,384.8,,,21.34,384.8,,21.34,,,,19.1,,19.1,342.06,,,19.1,342.06,1790.76,19.1,,,,23.61,,23.61,483.95,,,23.61,483.95,2049.56,23.61,,,,19.3,,19.3,491.81,,,19.3,491.81,229.32,19.3,,,,,,18.17,540.41,,,18.17,540.41,267.61,18.17,,,,,,0,0,16.56,,16.56,,0,0,16.56,3.89,12.67,,,,,19.07,,19.07,,,,19.07,3.5,15.57,,,,,21.31,,21.31,,,,21.31,9.33,11.98,,,,,20.73,,20.73,,,,20.73,7.71,13.02,,,,,17.94,,17.94,,,,17.94,5.35,12.59,,,,,24.36,,24.36,,,,24.36,9.44,14.92,,,,,40.44,,40.44,,,,40.44,22.88,17.56,,,,,37.54,,37.54,,,,,,
American Express Intl. Banking Corpn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.63,,,,,,16.63,,,,,,
Andhra Bank [Merged],12.11,,,,,,12.11,,,,,,,14,,,,,,14,,,,,,,11.33,,,,,,11.33,,,,,,,11.61,,,,,,11.61,,,,,,,12.37,,13.22,,,,13.22,,,13.22,,,,13.3,,13.93,7530.27,,,13.93,7530.27,,13.93,,,,13.48,,14.38,9861.18,,,14.38,9861.18,,14.38,,,,12.34,,13.18,11156.34,,,13.18,11156.34,,13.18,,,,11.26,,11.76,11899.78,,,11.76,11899.78,,11.76,,,,,,11.18,0,10.78,,10.78,,,11.18,10.78,,8.09,,,10.88,,10.63,,10.63,,,10.88,10.63,,7.99,,,11.86,,11.58,,11.58,,,11.86,11.58,,8.81,,,12.69,,12.38,,12.38,,,12.69,12.38,,9.17,,,11.42,,11,,11,,,11.42,11,,7.44,,,,,13.68,,13.68,,,,13.68,,10.38
Andhra Pradesh Grameena Vikas Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.91,,,,,,12.91,,,,,,,13.26,,,,,,13.26,,,,,,,13.45,,,,,,13.45,,,,,,,13.48,,,,,,13.48,,,,,,,14.05,,,,,,14.05,,,,,,,15.59,,,,,,15.59,,,,,,,15.5,,,,,,15.5,,,,,,,16.15,,,,,,16.15,,,,,,,19.27,4062.38,,,,,19.27,4062.38,,,,,,23.46,4937.18,,,,,23.46,4937.18,,,,,,25.5,5926.1,,,,,25.5,5926.1,,,,,
Andhra Pragathi Grameena Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antwerp Diamond Bank N V,,,,,,,,,,,,,,,,,,,,,,,,,,,92.69,,,,,,92.69,,,,,,,53.22,,,,,,53.22,,,,,,,39.99,,,,,,39.99,,,,,,,39.67,,,,,,39.67,,,,,,,46.48,,,,,,46.48,,,,,,,41.91,,37.09,,,,37.09,,,37.09,,,,29.03,,26.79,,,,26.79,,,26.79,,,,47.08,,33.72,204.2,,,33.72,204.2,,33.72,,,,40.74,,22.54,252.99,,,22.54,252.99,,22.54,,,,30.35,,25.6,268.71,,,25.6,268.71,,25.6,,,,37.34,,32.72,289.17,,,32.72,289.17,,32.72,,,,,,37.89,,34.52,,34.52,,,37.89,27.62,,27.62,,,0,,53.42,,53.42,,,0,42.8,,42.8
Apex Co-Operative Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,34,,,,,,34,,,,,,
Apna Co-Operative Urban Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apna Sahakari Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia & New Zealand Banking Group Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,560.14,25.5,560.14,,,25.5,560.14,2196.71,25.5,,,,28.12,1048.96,26.39,1048.96,,,26.39,1048.96,3974.86,26.39,,,,0,0,,,30.82,,30.82,0,,,30.82,0.39,30.43,,,,,21.85,,21.85,,,,21.85,0.43,21.42,,,,,18.26,,18.26,,,,18.26,0.29,17.97,,,,,19.45,,19.45,,,,19.45,,19.12,,,,,25.48,,25.48,,,,25.48,,25.2,,,,,18.82,,18.82,,,,18.82,0.4,18.42,,,,,14.7,,14.7,,,,14.7,1.07,13.63,,,,,32.82,,32.82,,,,32.82,,31.73,,,,,26.69,2771.73,26.69,2771.73,,,26.69,1.26,25.43,,,,,20.11,2876.43,20.11,2876.43,,,20.11,1.38,18.73
Axis Bank Ltd.,18.81,22307.89,15.8,22307.89,,,15.8,22307.89,141169.77,15.8,,,,,,12.65,24870.35,,,12.65,24870.35,196562.61,12.65,,,,,,13.66,31644.95,,,13.66,31644.95,231711.39,13.66,,,,,,17,43931.12,,,17,43931.12,258355.49,17,,,,,,16.97,,16.07,45596.03,16.07,45596.03,282873.02,16.97,16.07,3.45,12.62,,,,,15.09,52104.81,15.09,52104.81,,,15.09,3.06,12.07,,,,,15.29,61749.3,15.29,61749.3,,,15.29,2.78,12.51,,,,,14.95,70605.17,14.95,70605.17,,,14.95,3.08,11.87,,,,,16.57,85774.86,16.57,85774.86,,,,,,,,,,15.84,87459.58,15.84,87459.58,,,,,,,,,,17.53,107005.12,17.53,107005.12,,,17.53,3.04,14.49,,,,,19.12,121577.36,19.12,121577.36,,,19.12,2.65,16.47,,,,,18.54,133732.92,18.54,133732.92,,,18.54,3.3,16.34,,,,,17.64,150163.91,17.64,150163.91,,,17.64,3.07,14.57,,,,,16.63,172864.18,16.63,172864.18,,,16.63,2.43,14.2
B N P Paribas,12.6,,12.37,2257.99,,,12.37,2257.99,,12.37,,,,20.46,,,,,,20.46,,,,,,,14.67,,11.92,2297.4,,,11.92,2297.4,,11.92,,,,15.78,,14.7,2602.85,,,14.7,2602.85,,14.7,,,,15.7,,13.82,2696.14,,,13.82,2696.14,,13.82,,,,,,13.89,,13.89,,13.89,,,13.89,13.89,1.75,12.14,,,11.61,,11.61,,11.61,,,11.61,11.61,1.25,10.36,,,,,11.76,,11.76,,,,11.76,1.88,9.88,,,,,13.77,,13.77,,,,,,,,,,,15.38,,15.38,,,,,,,,,,,17.53,,17.53,,,,17.53,2.52,15.01,,,,,15.01,,15.01,,,,15.01,1.98,13.03,,,,,16.76,,16.76,,,,16.76,2.66,14.1,,,,,17.21,9464.7,17.21,9464.7,,,17.21,2.99,14.22,,,,,15.83,9686.03,15.83,9686.03,,,,,
Banares State Bank Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,,,,,,2.99,,,,,,,4.12,,,,,,4.12,,,,,,,0,,,,,,0,,,,,,,0,,,,,,0,,,,,,
Bandhan Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.01,,29.01,,,,,,,,,,,26.36,,26.36,,,,,,,,,,,31.48,,31.48,,,,,,,,,,,29.2,,29.2,,,,,,,,,,,27.43,,27.43,,,,,,,,,,,23.47,,23.47,,,,23.47,0.99,22.48,,,,,20.1,,20.1,,,,20.1,1.2,18.89,,,,,19.76,,19.76,,,,19.76,1.06,18.7,,,,,18.28,,18.28,,,,18.28,1.07,17.21
Bank Muscat Al Ahli Al Omani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.45,,,,,,212.45,,,,,,
Bank Muscat S A O G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.26,,,,,,69.26,,,,,,,28.33,,,,,,28.33,,,,,,,20.1,,,,,,20.1,,,,,,
Bank Of America N A,13.83,,12.73,2626.35,,,12.73,2626.35,,12.73,,,,17.16,,15.49,2925.27,,,15.49,2925.27,,15.49,,,,16.03,,14.51,2998.61,,,14.51,2998.61,,14.51,,,,19.12,,17.59,3702.72,,,17.59,3702.72,,17.59,,,,19.95,,18.4,3840,,,18.4,3840,,18.4,,,,0,,0,0,16.7,,16.7,,,0,16.7,0.33,16.37,,,,,15.16,,15.16,,,,15.16,0.44,14.72,,,,,14.97,,14.97,,,,14.97,0.39,14.58,,,,,19.24,,19.24,,,,19.24,0.48,18.76,,,,,19.42,,19.42,,,,19.42,0.4,19.02,,,,,24.68,,24.68,,,,24.68,0.81,23.87,,,,,17.62,,17.62,,,,17.62,0.9,16.72,,,,,20.05,12131.53,20.05,12131.53,,,20.05,1.09,18.96,,,,,19.62,12306.08,19.62,12306.08,,,19.62,1,18.62,,,,,19.82,13755.15,19.82,13755.15,,,19.82,1.43,18.39
Bank Of Bahrain & Kuwait Bsc,30.54,,25.58,,,,25.58,,,25.58,,,,25.01,,,,,,25.01,,,,,,,23.28,,23.28,104.91,,,23.28,104.91,,23.28,,,,38.6,,38.6,269.11,,,38.6,269.11,,38.6,,,,34.7,,34.7,279.34,,,34.7,279.34,,34.7,,,,,,33.57,0,33.57,277.45,33.57,277.45,,33.57,33.57,0.59,32.98,,,,,28.68,382.91,28.68,382.91,,,28.68,0.83,27.85,,,,,27.68,383.83,27.68,383.83,,,27.68,0.41,27.27,,,,,24.65,397.39,24.65,397.39,,,24.65,0.52,24.13,,,,,27.75,405.34,27.75,405.34,,,27.75,0.68,27.07,,,,,25.96,416.3,25.96,416.3,,,25.96,0.58,25.38,,,,,22.77,395.28,22.77,395.28,,,22.77,0.52,22.25,,,,,23.85,415.33,23.85,415.33,,,23.85,1.01,22.84,,,,,26.09,424.4,26.09,424.4,,,26.09,1.2,24.89,,,,,22.13,433.64,22.13,433.64,,,22.13,43.49,21.36
Bank Of Baroda,12.84,,14.36,22417.24,,,14.36,22417.24,156091.41,14.36,,,,13.02,,14.52,30483.42,,,14.52,30483.42,209890.48,14.52,,,,12.95,,14.67,37229.07,,,14.67,37229.07,253733.75,14.67,,,,12.09,,13.3,40545.02,,,13.3,40545.02,304756.75,13.3,,,,11.66,,12.87,,12.28,,12.28,,,12.87,12.28,3,9.28,12.09,,13.33,,12.6,,12.6,,,13.33,13.07,3.27,10.35,,,14.2,,13.17,,13.17,,,14.2,,,,,,,,12.24,,12.24,,,,12.24,2.31,9.93,,,,,12.13,,12.13,,,,12.13,1.67,10.46,,,,,13.42,,13.42,,,,13.42,1.87,11.55,,,,,13.3,,13.3,,,,13.3,2.59,10.71,,,,,14.99,93050.72,14.99,93050.72,,,14.99,2.32,12.67,,,,,15.68,98712.43,15.68,98712.43,,,15.68,2.5,13.18,,,,,16.24,113273.74,16.24,113273.74,,,16.24,2.25,13.99,,,,,16.31,129597.98,16.31,129597.98,,,16.31,2.24,14.07
Bank Of Ceylon,56.37,,,,,,56.37,,,,,,,63.21,,,,,,63.21,,,,,,,55.97,,,,,,55.97,,,,,,,63.67,,45.18,52.06,,,45.18,52.06,,45.18,,,,83.3,,50.85,53.73,,,50.85,53.73,,50.85,,,,57.86,,42.09,54.84,,,42.09,54.84,132.92,42.09,,,,,,96.58,134.77,,,96.58,134.77,139.55,96.58,,,,,,71.45,138.93,,,71.45,138.93,194.34,71.45,,,,,,55.72,142.17,55.72,,55.72,142.17,255.15,55.72,,,,,,,0,43.71,,43.71,,,,43.71,1.06,42.65,,,,,38.34,,38.34,,,,38.34,1.25,37.09,,,,,33.22,,33.22,,,,33.22,1.25,31.97,,,,,32.96,,32.96,,,,32.96,1.25,31.71,,,,,32.93,,32.93,,,,32.93,1.25,31.68,,,,,33.36,,33.36,,,,33.66,1.25,32.11
Bank Of India,12.63,,,,,,12.63,,,,,,,11.42,,,,,,11.42,,,,,,,11.57,,,,,,11.57,,,,,,,11.35,,11.02,,,,11.02,,,11.02,,,,,,10.76,,9.97,,9.97,,,10.76,,,,,,11.42,,10.73,,10.73,,,11.42,,,,,,12.05,,12.01,,12.01,,,12.05,,,,,,,,12.14,,12.14,,,,,,,,,,,12.94,,12.94,,,,,,,,,,,14.19,,14.19,,,,,,,,,,,13.1,,13.1,,,,,,,,,,,14.93,44990.19,14.93,44990.19,,,,,,,,,,16.51,52252.58,16.51,52252.58,,,,,,,,,,16.28,57727.42,16.28,57727.42,,,,,,,,,,16.97,69906.81,16.97,69906.81,,,,,
Bank Of Madura Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.02,,,,,,102.02,,,,,,12.19,,,,,,12.19,,,,,,,13.72,,,,,,13.72,,,,,,,14.25,,,,,,14.25,,,,,,,15.83,,,,,,15.83,,,,,,
Bank Of Maharashtra,11.33,,12.78,,,,12.78,,,12.78,,,,11.75,,13.35,,,,13.35,,,13.35,,,,11.25,,12.43,,,,12.43,,,12.43,,,,11.72,,12.59,,,,12.59,,,12.59,,,,,,,,10.79,,10.79,,,,10.79,3.35,7.44,,,,,11.94,,11.94,,,,11.94,3.18,8.76,,,,,11.2,,11.2,,,,11.2,2.18,9.02,,,,,11.18,,11.18,,,,11.18,2.17,9.01,,,,,11.01,,11.01,,,,11,1.99,9.01,,,,,11.86,,11.86,,,,11.86,1.95,9.88,,,,,13.52,,13.52,,,,13.52,2.85,10.67,,,,,14.5,,14.5,,,,14.49,3.51,10.98,,,,,16.48,,16.48,,,,16.48,4.1,12.38,,,,,18.14,,18.14,,,,18.14,3.89,14.25,,,,,17.38,,17.38,,,,17.38,3.66,13.72
Bank Of Nova Scotia,13.71,,,,,,13.71,,,,,,,23.26,,,,,,23.26,,,,,,,20.15,,15.23,,,,15.23,,,15.23,,,,19.34,,13.38,844.59,,,13.38,844.59,6312.37,13.38,,,,20.54,,13.15,929.52,,,13.15,929.52,7067.12,13.15,,,,18.59,,11.8,1050.08,,,11.8,1050.08,8902.61,11.8,,,,24,,0,0,,,24,,0,0,,,,11.95,,11.95,1422.29,,,11.95,1422.29,11903.93,11.95,,,,,,0,0,19.59,,19.59,,0,0,19.59,0.42,19.17,,,,,16.85,,16.85,,,,16.85,1.58,15.27,,,,,22.46,,22.46,,,,22.46,0.58,21.88,,,,,23.38,,23.38,,,,23.38,0.79,22.59,,,,,24.5,,24.5,,,,24.5,0.76,23.74,,,,,34.19,,34.19,,,,34.18,1.04,33.14,,,,,31.72,,31.72,,,,31.72,1.09,30.63
Bank Of Punjab Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.03,,,,,,35.03,,,,,,,18.65,,,,,,18.65,,,,,,,16.34,,,,,,16.34,,,,,,,13.17,,,,,,13.17,,,,,,,9.81,,,,,,9.81,,,,,,,11.02,,,,,,11.02,,,,,,,12.82,,,,,,12.82,,,,,,,13.59,,,,,,13.59,,,,,,,12.64,,,,,,12.64,,,,,,,9.23,,,,,,9.23,,,,,,
Bank Of Rajasthan Ltd. [Merged],11.08,,,,,,11.08,,,,,,,10.13,,,,,,10.13,,,,,,,5.54,,,,,,5.54,,,,,,,0.83,,,,,,0.83,,,,,,,5.73,,,,,,5.73,,,,,,,10.57,,,,,,10.57,,,,,,,12.07,,,,,,12.07,,,,,,,11.29,,,,,,11.29,,,,,,,11.18,,,,,,11.18,,,,,,,12.75,,,,,,12.75,,,,,,,10.6,,,,,,10.6,,,,,,,11.32,,,,,,11.32,,,,,,,11.87,,,,,,11.87,,,,,,,12,,11.5,,,,11.5,,,11.5,,,,7.74,,,,,,7.74,,,,,,
Bank Of Tokyo Mitsubishi Ufj (India Branch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.35,,25.35,,,,,,,,,,,20.71,,20.71,,,,20.71,1.57,19.14
Banque Nationale De Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69,,,,,,8.69,,,,,,,8.88,,,,,,8.88,,,,,,,8.8,,,,,,8.8,,,,,,,9.09,,,,,,9.09,,,,,,,9.55,,,,,,9.55,,,,,,
Barclays Bank Plc,22.92,,,,,,22.92,,,,,,,13.68,,,,,,13.68,,,,,,,21.11,,,,,,21.11,,,,,,,17.07,,17.07,4793.06,,,17.07,4793.06,,17.07,,,,16.99,,16.99,4199.08,,,16.99,4199.08,,16.99,,,,14.89,,14.89,4471.29,,,14.89,4471.29,,14.89,,,,14.99,,14.99,4383.05,,,14.99,4383.05,,14.99,,,,,,19.09,4472.69,,,19.09,4472.69,,19.09,,,,,,,,19.72,,19.72,,,,19.72,0.73,18.99,,,,,18.15,,18.15,,,,18.15,0.56,17.59,,,,,18.82,,18.82,,,,18.82,0.58,18.24,,,,,17.8,,17.8,,,,17.8,0.51,17.29,,,,,17.63,,17.63,,,,17.63,0.48,17.15,,,,,16.3,,16.3,,,,16.3,0.71,15.59,,,,,15.67,,15.67,,,,15.67,0.8,14.87
Bareilly Corporation Bank Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,,2.72,,,,,,,2.95,,,,,,2.95,,,,,,,3.56,,,,,,3.56,,,,,,
Baroda Gujarat Gramin Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhandari Co-Operative Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharat Co-Op. Bank (Mumbai) Ltd.,14.97,,,,,,14.97,,,,,,,13.26,,,,,,13.26,,,,,,,12.8,,,,,,12.8,,2645.01,,,,,12.56,430.24,,,,,12.56,430.24,,,,,,12.58,539.85,,,,,12.58,539.85,,,,,,12.68,661.42,,,,,12.68,661.42,,,,,,13.18,819.35,,,,,13.18,819.35,,,,,,13.05,,,,,,13.05,,,,,,,13,,,,,,13,,,,,,,13.32,,,,,,13.32,,,,,,,13.81,,,,,,13.81,,,,,,,13.35,,,,,,13.35,,,,,,,14.13,,,,,,14.13,,,,,,,12.63,927.08,,,,,12.63,927.08,,,,,,13.7,995.05,,,,,13.7,995.05,,,,,
