,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
Bharat Overseas Bank Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,54.81,62.04,2.31,,9.74,,,,,16.34,49.01,28.1,84.28,66.64,74.22,0.66,,15.27,,,,,18.74,57.27,27.4,83.73,86.48,98.29,0.51,,19.3,,,,,22.6,77.36,25.46,87.14,71.18,103.89,0.38,,16.97,,,,,21.61,85.41,23.09,91.27,125.61,139.93,1.27,1.68,18.19,,,,,26.21,119.22,20.35,92.55,143.75,162.73,1.29,1.17,15.2,,,,,32.1,144.71,21.19,95.53,92.05,159.46,1.31,1.5,19.02,,,,,31.86,136.64,20.11,86.25,102.45,185.15,2.64,2.37,32.49,,,,,36.1,145.57,21.53,86.83,167.21,221.98,3.02,2.97,49.48,,,,,40.3,161.69,20.23,81.16,105.29,212.58,3.01,2.4,46.47,,,,,42.04,157.56,21.84,81.86,198.48,230.12,5.07,2.37,50.68,,,4.92,,52.91,166.99,27.13,85.62,218.72,245.21,11.23,1.75,16.47,,,4.3,,62.06,201.42,27.56,89.46,252.14,278.1,8.8,1.25,14.02,,,4.5,,78.04,237.45,28.64,87.13
Bharat Sahakari Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.24,8.51,0.17,,1.63,,,,,1.9,6.54,28.32,97.47,12.24,12.76,0.34,,0.88,,,,,2.83,11.28,24.21,96.49
Bharatiya Mahila Bank Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.52,45.29,0.15,1.8,18.78,,,,,20.49,23.92,62.03,72.42,118.76,137.29,0.58,1.73,30.32,,,,,55.8,104.18,47.49,88.66,155.85,171.61,0.96,0.2,3.18,,,,,76.09,165.01,44.96,97.51
Bombay Mercantile Co-Op. Bank Ltd.,266.49,294.39,4.29,,-20.98,,,,,77.69,306.78,24.97,98.62,165.84,241.3,1.21,1.25,28.4,,,,,66.19,197.05,32.89,97.91,132.81,203.56,1.49,1.8,35.03,,,,,59.47,153.6,38.19,98.64,110.53,161.36,2.36,0.39,-13.92,,,,,57.05,150.77,36.42,96.25,102.42,143.51,4.04,-0.64,-25.73,,,4.43,,58.42,133.93,41.31,94.7,112.04,128.47,4.31,-0.08,-24.25,,,4.35,,55.29,141.08,39.42,100.58,136.32,160.7,3.86,,-10.69,,,4.5,,56.66,149.87,36.13,95.57,147.55,362.82,3.85,0.52,-13.28,,,4.83,,65.13,166.01,22.68,57.82,217.52,280.97,0.96,0.19,2.45,,,5.54,,86.85,227.62,33.93,88.93,229.13,257.3,6.09,0.76,2.99,,,6.01,,85.93,240.25,35.46,99.14,219.05,273.81,1.04,0.58,13.29,,,4.14,,114.87,241.57,44.05,92.63,202.48,237.69,0.23,0.08,-1.7,,,4.14,,120.01,227.51,50.76,96.22,188.51,258.49,0.35,-0.72,-49.26,,,3.96,,149.76,256.84,57.3,98.28,187.06,212.35,0.44,-0.01,4.08,,,3.97,,109.61,202.66,50.57,93.5,171.51,210.32,6.07,0.31,7.81,,,3.6,,114.11,192.67,55.24,93.28
British Bank Of The Middle East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.28,92.68,,,26.62,,,,,4.64,65.95,5.87,83.47,38.35,85.53,,,21.51,,,,,7.34,63.53,10.17,87.99,43.79,109.91,,,38.19,,,,,7.48,70.69,8.58,81.13,73.17,124.73,,,23.01,,,,,8.7,100.73,7.97,92.29,80.76,135.64,,,20.86,,,,,9.71,113.77,7.93,92.87,61.95,127.84,,,18.56,,,,,10.62,108.19,8.51,86.73,66.48,143.47,,,-0.44,,,,,17.7,142.51,8.98,72.33
C S B Bank Ltd.,577.96,664.23,34.65,10,-32.66,,,,,185.38,640.87,27.98,96.72,762.13,837.85,42.21,0.38,-9.45,,,,,278.56,792.8,33.74,96.02,1075.63,1161.38,34.78,0.87,42.73,,,,,290.17,1058.78,25.55,93.25,1320.87,1416.09,38.03,0.79,58.34,,,,2.64,324.34,1307.26,23.44,94.49,1503.98,1647.25,40.46,0.65,46.78,,,,2.58,393.76,1523.29,24.3,94.01,1544.55,1708.06,28.45,0.32,8.55,,,,2.27,422.32,1628,23.98,92.44,1482.88,1678.7,27.76,-0.02,-63.32,,,,1.99,418.35,1595.34,22.88,87.25,1336.29,1659.18,30.82,0.92,132.3,,,,1.91,428.17,1456.17,25.83,87.85,1296.8,1479.21,43.65,0.45,-31.36,,,,2.32,420.33,1369.2,26.66,86.84,1347.52,1596.37,43.09,0.08,-95.01,,,,2.51,545.99,1498.1,30.44,83.52,1509.89,1732.39,60.07,1.51,140.61,,,,3.74,509.8,1447.79,29.65,84.19,1871.39,2273.11,91.67,2.34,422.91,,,5.07,4.81,688.21,1642.27,33.49,79.93,2038.31,2382.08,107.14,2.55,506.17,,,4.31,5.27,748.39,1651.66,38.91,85.86,2319.65,2723.67,107.38,2.66,599.77,,,4.38,5.48,899.28,1899.04,41.32,87.26,2927.55,3574.51,155.28,2.46,624.77,,,5.35,5.09,1225.23,2676.36,40.74,88.98
Canara Bank,18751.96,22740.24,1082.2,2.19,4304.49,,2.45,6.12,2.8,3322.49,17195.64,16.85,87.2,22940.08,28345.47,1253.9,2.15,4837.13,,2.76,5.8,3.12,4267.96,21955.63,17.55,90.28,30850.62,33945.63,1281.53,1.72,4506.76,,2.23,7.35,2.5,4516.86,27998.32,14.73,91.31,34077.94,37644.12,1172.25,1.56,4726.68,,2.09,7.72,2.4,4952.29,31553.08,14.24,90.74,39547.62,43795.78,1748.89,1.51,4231.24,7710.77,1.99,7.42,2.27,5981.41,37455.56,14.46,90.57,43750.04,49129.83,1712.45,1.41,5935.71,,1.94,7.38,2.25,6836.5,41038.73,14.73,88.39,44022.14,49766.94,2236.55,1.32,4111.65,,1.8,6.94,2.19,7321.98,42413.28,13.93,80.66,41387.65,49379.47,2381.69,1.58,6729.84,,,6.25,2.23,8184.75,39897.63,16.96,82.68,41252.09,51215.31,3233.41,1.7,4943.91,,,5.6,2.42,9112.89,40093.46,16.44,72.32,46810.34,56643.07,4321.95,1.72,6058.39,,,5.66,2.63,10045.36,42747.94,17.84,75.93,48934.99,57030.02,4616.92,1.34,4947.9,,,5.57,2.29,11145.08,47033.04,18.81,79.36,69280.47,84580.94,7947.07,1.78,11660.52,,,4.52,2.76,18518.01,64124.48,22.58,78.18,69410.25,86140.26,9605.26,1.94,12040.96,,,3.95,2.82,18976.32,63430.92,23.58,78.83,84424.78,103483.48,12646.72,2.11,12226.25,,,4.38,2.95,21488.54,77279.73,23.14,83.2,108687.93,128141.08,14613.29,2.04,13997.43,,,5.5,3.05,25250.85,98283.75,22.23,86.53
Capital Small Finance Bank Ltd.,53.97,64.42,0.01,1.83,11.16,,,,,16.01,51.63,28.09,90.58,66.52,74.67,,2.41,16.6,,,,,18.44,56.34,28.7,87.69,89.57,98.28,0.02,2.07,17.25,,,,,23.2,78.64,26.47,89.72,110.84,121.8,0.01,1.59,19.64,,4.09,,3.72,28.2,99.24,25.8,90.8,130.45,141.41,0.02,1.45,16.02,,4.02,,3.65,34.06,120.9,26.04,92.43,160.41,174.74,0.01,1.23,22.01,,3.87,7.22,3.53,41.62,147.42,25.93,91.84,188.01,202.34,0.01,1.13,21.26,,3.7,,3.37,50.29,175.61,26.66,93.11,223.7,243.6,0.04,0.95,23.15,,3.55,,3.08,64.43,214.1,28.19,93.67,271.01,294.01,,1.08,32.85,,3.87,,3.5,86.16,252.64,31.33,91.87,346.29,377.8,1.78,0.89,31.95,33.96,3.96,,3.58,120.4,332.3,33.59,92.72,458.14,501.12,4.84,1.05,47.43,58.51,,6.1,,148,433.51,31.11,91.12,511.44,558.39,5.83,1.21,65.65,78.24,,5.68,3.4,156.49,469.33,30.23,90.67,578.21,632.41,5.84,1.66,107.39,117.13,5.8,5.02,3.74,180.13,503.06,31.61,88.28,676.01,726.82,0.02,1.93,148.68,152.62,,4.9,4.19,202.08,557.44,31.91,88.03,794.33,862.41,0.04,1.77,154.74,170.18,,5.61,3.94,241.43,690.61,32.15,91.97
Central Bank Of India Ltd.,12064.31,13822.06,311.34,1.29,1629.02,,,6.29,1.86,2165.46,11749.26,16.97,92.05,15220.57,16485.72,275.08,1.45,2162.07,,,5.71,3.31,3584.92,13634.5,23.53,89.5,19149.51,20545.23,222.98,1.36,2443.39,,,7.2,2.78,3310.08,17439.94,16.54,87.15,21860.65,23697.04,405.78,1.37,2929.44,,,7.42,2.65,3752.52,19875.6,16.54,87.63,24427.55,26364.46,445.23,1.22,2793.99,,,7.24,2.73,4675,22608.17,16.92,81.83,26408.77,28321.66,194.52,1.25,3383.24,,,7.22,2.79,5057.56,24219.28,18.25,87.39,25887.89,30327.68,194.3,0.9,1526.33,,,6.86,2.78,6122.05,25792.31,19.28,81.25,24661.4,28941.69,224.05,1.01,2471.39,,,6.2,2.51,6103.65,24585.48,19.45,78.35,24035.51,30487.45,636.7,0.86,1223.24,,,5.53,2.47,6229.45,24542.13,17.5,68.95,22638.58,28301.72,852.71,0.94,1294.33,,,5.21,2.54,5780.92,22631.19,17.03,66.67,23562.47,27435.35,1060,1.34,2241.02,,,5.11,2.78,6636.24,23635.4,23.24,82.77,22730.24,26354.48,672.77,1.34,3570.16,,,4.35,2.78,6489.9,21383.2,23.82,78.49,22801.65,26271.05,1113.23,1.67,3428.04,,,3.86,3.21,6961.48,21199.99,27.6,84.04,25541.9,29848.77,1711.08,1.9,4959.44,,,3.92,3.47,8500.89,22570.58,30.07,79.85,30722.23,35746.9,1922.5,1.82,5719.76,,,4.61,3.4,9745.27,27571.17,29.36,83.05
Centurion Bank Of Punjab Ltd. [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.76,0.1,,1.11,,,,,1.08,1.4,69.68,90.32,38.45,44.58,0.02,,10.38,,,,,8.49,32.01,24.3,91.61,82.94,113.95,2.17,,21.58,,,,,14.85,83.01,15.2,84.96,127.06,204.04,1.48,,36.85,,,,,24.29,156.6,13.2,85.12,394.7,444.41,13.8,1.16,12.11,,,,,49.01,350.57,11.73,83.88,442.8,531.59,10.59,1.61,49.07,,,,,61.41,429.3,12.35,86.33,547.3,645.39,6.35,1.08,30.97,,,,,79.63,545.18,12.47,85.4,482.18,553.01,5.64,0.32,-20.05,,,,,98.97,487.18,13.84,68.15,371.34,463.42,11.09,0.61,20.38,,,,,112.35,383.19,22.99,78.4,333.79,422.13,6.09,0.38,28.14,,,,,145.14,348.96,27.12,65.22,346.09,481.04,10.35,0.65,15.32,,,,,189.57,357.78,41.58,78.47,803.2,1201.44,16.01,1.49,102.05,,,4.6,,451.33,855.77,40.53,76.84,1268.53,1710.66,25.49,1.86,241.76,,,5.62,,648.85,1348.63,40.83,84.86
Chase Manhattan Bank N A [Merged],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,5.65,1.11,,-0.98,,,,,3.85,4.41,71.56,81.97,2.97,19.74,0.2,,5.96,,,,,7.59,12.46,45.72,75.06,4.97,28.11,2.67,,1.85,,,,,11.54,22.42,44.28,86.03,4.4,52.82,1.5,11.78,15.38,,,,,16.78,31.87,38.8,73.69,3,65.26,5.55,13.56,26.57,,,,,14.06,31.07,28.33,62.6,4.15,70.05,5.26,11.16,30.2,,,,,20.76,32.2,35.74,55.44
Chembur Nagarik Sahakari Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0,0,18.36,19.85,0.64,1.84,2.66,,,,,3.57,15.78,21.57,95.35,18.77,20.96,0.7,1.59,1.11,,,,,4.17,17.21,23.34,96.31,52.64,55.73,1.67,0.95,3.27,,,7.46,,12.14,49.75,23.3,95.49,56.49,60.43,1.84,,4.14,,,8.07,,13.68,53.19,24.38,94.78,64.49,72.12,2.45,1.08,7.9,,,7.49,,15.26,60.59,23.54,93.47,62.76,69.47,2.59,1.08,4.86,,,7.03,,16.56,60.26,25.91,94.27,57.24,64.12,2.53,0.67,2.08,,,6.63,,17.85,58.18,28.26,92.1,53.51,63.44,3.23,0.4,-0.64,,,7.03,,20.25,57.52,33.99,96.56,45.38,55.28,2.18,0.25,-0.43,,,6.63,,18.82,51.72,39.02,107.24
Chinatrust Commercial Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,5.19,,,0.43,,,,,3.73,4.21,73.43,82.87,3.09,7.63,0.06,,0.55,,,,,3.75,6.22,49.15,81.52,13.19,13.77,0.09,0.52,0.31,,,,,4.32,12.37,30.36,86.93,20.78,21.99,0.12,1.07,1.43,,,,,4.66,19.41,21.6,89.99,16.62,21.39,0.84,3.5,4.39,,,,,3.39,13.67,16.8,67.74,8.65,18.06,0.4,4.25,5,,,,,3.69,10.27,24.04,66.91,8.49,18.31,0.74,4.86,5.06,,,,,3.59,10.75,21.31,63.8
Cho Hung Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,6.47,0.27,,2.14,,,,,2.89,3.17,54.73,60.04,8.57,13.57,0.29,,7.31,,,,,3.28,5.36,34.71,56.72,9.62,15.87,0.28,,9.25,,,,,3.65,5.98,34.47,56.47,8.83,15.83,0.18,2.26,10.62,,,,,3.32,4.72,22,31.28,9.17,16.39,0.09,8,11.03,,,,,2.81,5.03,23.01,41.2,10.21,16.42,0.08,8.44,11.45,,,,,2.9,4.66,28.16,45.24,12.84,27.27,0.06,6.13,11.31,,,,,3.45,8.41,21.2,51.69,7.51,14.74,0.13,5.57,8.58,,,,,3.54,5.68,33.43,53.64,9.17,18.07,0.22,5.24,10,,,,,4.16,7.23,34.87,60.6,11.76,21.47,0.19,3.45,8.81,,,,,4.67,12.17,28.92,75.36
Citibank N A,6070.47,7895.83,16.29,3.66,3023.44,,,,,2273.71,4775.5,32.32,67.88,6269.31,8806.02,35.61,3.16,2923.89,,,,,2623.15,5741.2,35.54,77.78,7767.62,9900.22,47.71,2.96,3699.23,,,,,2702.64,6054.48,33.88,75.89,8916.14,11815.33,9.48,3.34,4786.7,,,,,2801.11,6744.68,30.79,74.14,9195.21,12231.51,,4.01,5518.14,,,,,2755.62,6493.88,29.51,69.54,10210.53,13612.47,99.09,4.29,5995.76,,,,,3034.38,7390.82,29.78,72.53,10697.6,13885.43,198.46,4.19,5944.09,,,,,3334.69,7606.05,31.3,71.4,10450.85,14186.15,73.37,4.59,6559.75,,,,,3672.04,7414.46,34.77,70.21,10475.72,14011.17,122.28,4.48,6194.54,,,,,3867.53,7541.65,36.46,71.09,11410.01,15688.47,192.49,4.51,7512.88,,,,,4128.68,7812.25,35.89,67.91,12949.14,17990.51,191.59,4.56,8870.18,,,,,4111.1,8496.61,31.45,65,12195.22,16150.19,175.5,3.57,7748.04,,,3,4.57,4153.34,8085.28,34.45,67.06,11854.42,16877.57,330.18,3.18,6932.12,,,2.39,4.65,4664.08,9376.77,35.47,71.3,14265,30706.37,11772.56,3.51,8162.93,,,2.94,5.15,5275.99,10608.11,30.87,62.06,15411.1,20711.74,269.42,4.52,10941.95,,,4.38,4.98,4077.74,9299.13,28.17,64.24
Citizencredit Co-Op. Bank Ltd.,123.33,138.23,0.2,1.46,19.52,,,6.41,,23.07,112.59,19.11,93.26,150.75,163.62,0.11,1.53,29.27,,,5.76,,26.85,130.94,18.84,91.86,188.3,202.66,0.22,1.57,32.71,,,5.97,,30.13,165.86,16.8,92.49,223.02,239.27,0.11,1.59,37.94,,,7.49,4.11,37.42,196.88,17.18,90.39,232.39,253.41,0.37,1.76,43.99,,,7.03,4.62,43.31,204.45,18.69,88.2,250.23,268.8,0.17,,45.8,,,,,53.59,219.06,21.72,88.8,263.96,283.77,0.05,1.33,41.34,,,7.19,,56.6,239.44,21.52,91.02,270.33,293.93,0.08,1.11,37.7,,,6.69,,61.93,252.84,22.79,93.04,275.07,301.08,0.07,0.89,33.3,,,6.11,,63.95,256.88,22.7,91.2,283.65,323.88,0.03,0.92,34.92,,,5.91,,72.47,272.68,23.27,87.57,280.44,300.29,0.02,0.85,33.32,,,5.81,,74.66,263.4,27.03,95.35,251.46,279.38,1.61,1.03,36.67,,,4.97,2.51,72.81,235.84,28.98,93.87,248.93,266.72,0.04,1.19,48.47,,,4.07,3.22,81,213.21,35.41,93.2,247.99,263.19,0.08,,44.16,,,3.88,3.56,79.28,210.19,35.05,92.93,271.98,287.18,0.04,,49.74,,,4.69,3.58,82.4,232.39,33.9,95.61
City Co-Op. Bank Ltd.,1.76,1.82,0.04,,0.14,,,,,0.75,1.63,45.73,99.39,2.25,2.79,0.06,,0.24,,,,,1.16,2.47,46.59,99.2,2.47,3.13,0.05,,0.29,,,,,1.28,2.73,46.55,99.27,3.09,3.27,0.11,,0.07,,,,,1.61,3,52.44,97.72,4.34,4.54,0.13,,0.39,,,,,1.96,3.88,49.12,97.24,4.11,6.84,0.19,,0.76,,,,,2.52,5.65,42.86,96.09,5.74,8.34,0.22,,0.51,,,,,3.18,7.42,40.41,94.28,6.86,10.4,0.25,,0.2,,,,,3.2,9.62,32.26,96.98,13.36,14.36,0.56,,0.76,,,,,3.82,12.78,27.25,91.16,12.81,15.95,0.49,,1.86,,,,,4.5,13.32,30.04,88.92,14.03,16.71,,0.98,2.66,,,,,4.56,13.8,32.46,98.22,13.99,16.14,0.63,,1.19,,,,,5.39,13.96,37.69,97.62,14.28,15.42,0.53,0.78,0.71,,,5.82,,5.33,13.66,37.75,96.74,14.49,15.29,,0.15,0.26,,,5.48,,6.24,14.55,41.49,96.74,14.27,15.57,,0.41,1.29,,,4.73,,6.41,13.89,43.43,94.11
City Union Bank Ltd.,956.61,1100.11,71.27,2.54,179.94,,,7.73,3.15,152.27,834.8,16.07,88.12,1218.41,1379.32,109.69,2.8,243.51,,,6.94,,199.58,1005.56,17.14,86.37,1696.77,1913.2,149.5,2.6,269.99,,,8.11,,266.27,1470.7,16.31,90.06,2188.75,2462.39,196.59,2.56,326.31,,,8.44,3.35,349.52,1914.54,16.33,89.45,2545.93,2825.78,183.88,2.41,395.6,,,8.37,3.5,420.54,2208.19,16.97,89.09,2698.86,3124.91,231.96,2.61,459.93,,,8.15,3.44,472.09,2364.41,17.29,86.61,2944.21,3365.11,239.92,2.81,593.78,,,7.62,3.81,505.31,2468.48,17.3,84.52,3173.78,3665.43,234.33,2.97,759.35,,,6.82,4.17,635.96,2610.98,20.11,82.56,3402.43,3935.35,314.47,3.27,797.56,,,6.29,4.42,702.2,2770.06,21,82.85,3767.17,4287.31,370.16,2.98,844.65,,,6.17,4.32,824.4,3002.58,22.87,83.3,4168.61,4880.23,380.17,2.81,992.75,,,6.2,3.98,934.76,3428.17,21.23,77.84,4134.69,4839.47,327.81,2.84,1137.96,,,5.36,0.4,963.13,3285.98,22.68,77.38,4104.79,5498.66,457.91,2.83,1135.87,,,4.68,3.98,995.24,3805.24,21,80.3,4714.33,6431.95,623.35,2.83,1194.51,,,4.66,3.89,1082.33,4490.62,19.7,81.73,5270.57,6391.94,523.35,2.27,993.36,1854.43,,5.59,3.65,1273.01,4707.83,23.68,87.57
Co-Operative Bank Of Ahmedabad Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.55,31.79,0.6,,2.49,,,,,7.4,28.04,25.68,97.29,34.95,36.46,0.72,,2.57,,,,,8.97,32.47,26.61,96.32
Co-Operative Bank Of Rajkot Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.42,26.55,0.07,3.53,5.98,,3.64,9.35,,2.62,19.52,10.77,80.23,26.18,29.94,0.05,3.3,6.75,,3.36,9.35,,2.65,21.97,9.64,79.95,27.13,31.29,0.08,2.86,6.79,,2.9,,,3.47,23.56,12.14,82.44
Coastal Local Area Bank Ltd.,3.8,5.2,0.39,0.22,0.27,,7.6,3.88,,1.8,3.74,39.74,82.56,5.09,6.33,0.71,2.75,1.28,,8.12,4.27,5.92,2.25,4.01,44.29,78.94,5.9,8.11,1.46,4.08,1.19,,7.23,5.16,5.49,2.61,4.98,40.78,77.81,7.91,10.98,2.04,4.61,1.89,,6.85,6.12,5.8,2.9,6.59,33.96,77.17,10.69,14.43,2.86,4.66,2.6,,7.58,5.92,5.55,3.4,8.53,30.66,76.92,14.43,18.03,2.95,6.52,4.55,,7.79,6.01,6.75,3.94,10.14,29.87,76.88,19.95,23.85,3.37,5.26,5.28,,7.48,7.34,6.56,4.76,14.59,25.76,78.95,24.32,29.05,4.25,5.86,6.89,,7.59,7.64,6.93,5.37,17.34,24.8,80.09,25.56,30.05,4.17,4.14,4.4,,7.59,7.67,6.79,7.41,20.84,30.33,85.3,55.35,68.74,5.88,4.38,16.02,,,6.58,6.4,16.77,45.45,30.94,83.84,62.75,77.72,6.15,2.99,18.63,,,6.46,6.39,18.4,51.28,29.87,83.26,67.69,86.91,13.37,2.22,15.05,,,6.39,5.9,22.6,56.6,33.5,83.89,78.3,93.3,10.14,3.67,22.5,,,6.06,6.49,23.09,58.47,31.29,79.24,76.96,93.85,13.32,4.06,17.26,,,5.55,6.01,26.95,61.46,33.99,77.52,86.28,101.31,11.05,4.08,22.09,,,5.53,6.34,25.85,64.23,31.86,79.17
Commerzbank A G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,2.3,,,-4.29,,,,,5.72,5.95,86.54,90.02,19.97,29.72,0.01,,0.99,,,,,16.55,27.23,56.62,93.16,32.22,55.74,0.11,,10.25,,,,,16.56,43.95,29.27,77.68,23.34,57.74,2.47,,5.23,,,,,16.68,47.1,29.58,83.53,25.62,62.86,0.18,0.66,2.91,,,,,17.96,58.05,29.6,95.67,23.92,69.93,0.42,1.01,5,,,,,13.99,61.95,20.31,89.95,8.43,37.55,2.09,-2.61,-10.59,,,,,20.81,44.32,45.23,96.33
